Performing system checks...

System check identified no issues (0 silenced).
October 23, 2020 - 06:29:14
Django version 3.0.8, using settings 'backend.settings'
Starting development server at http://0.0.0.0:9898/
Quit the server with CONTROL-C.
[23/Oct/2020 06:29:15] "GET / HTTP/1.1" 200 707
[23/Oct/2020 06:29:16] "GET /static/js/manifest.2ae2e69a05c33dfc65f8.js HTTP/1.1" 200 857
[23/Oct/2020 06:29:16] "GET /static/js/2D.js HTTP/1.1" 200 96367
[23/Oct/2020 06:29:16] "GET /static/js/app.38783f422f3306035bce.js HTTP/1.1" 200 336212
[23/Oct/2020 06:29:16] "GET /static/css/app.fe5832ee0d417750f630cb7d8e7e2e61.css HTTP/1.1" 200 370502
[23/Oct/2020 06:29:16] "GET /static/js/vendor.51946e30b108bb294f21.js HTTP/1.1" 200 3300013
[23/Oct/2020 06:29:16] "GET /static/img/left_logo.png HTTP/1.1" 200 10154
[23/Oct/2020 06:29:16] "GET /static/fonts/element-icons.535877f.woff HTTP/1.1" 200 28200
[23/Oct/2020 06:29:16] "GET /static/img/log.ico HTTP/1.1" 200 4286
[23/Oct/2020 06:29:22] "GET /api/init?id=test&trainJobName=test HTTP/1.1" 200 64
[23/Oct/2020 06:29:22] "GET /api/getCategory?trainJobName=test HTTP/1.1" 200 1314
[23/Oct/2020 06:29:28] "GET /api/graph?run=wavenet&tag=c_graph&trainJobName=test HTTP/1.1" 200 1433988
[23/Oct/2020 06:35:54] "GET /api/exception?run=oneflow&tag=tag1&trainJobName=test HTTP/1.1" 200 199
[23/Oct/2020 06:35:54] "GET /api/exception?run=mnist&tag=layer1%2Fbiases%2FVariable:0&trainJobName=test HTTP/1.1" 200 2471
[23/Oct/2020 06:35:54] "GET /api/exception?run=mnist&tag=layer2%2Fbiases%2FVariable:0&trainJobName=test HTTP/1.1" 200 1972
[23/Oct/2020 06:35:54] "GET /api/exception?run=mnist&tag=layer1%2Fweights%2FVariable:0&trainJobName=test HTTP/1.1" 200 2313
[23/Oct/2020 06:35:54] "GET /api/exception?run=mnist&tag=layer2%2Fweights%2FVariable:0&trainJobName=test HTTP/1.1" 200 2459
[23/Oct/2020 06:35:54] "GET /api/exception_data?run=oneflow&tag=tag1&step=10&trainJobName=test HTTP/1.1" 200 1058
[23/Oct/2020 06:35:54] "GET /api/exception_hist?run=oneflow&tag=tag1&step=10&trainJobName=test HTTP/1.1" 200 904
[23/Oct/2020 06:35:54] "GET /api/exception_data?run=mnist&tag=layer1%2Fbiases%2FVariable:0&step=0&trainJobName=test HTTP/1.1" 200 5117
[23/Oct/2020 06:35:54] "GET /api/exception_hist?run=mnist&tag=layer1%2Fbiases%2FVariable:0&step=0&trainJobName=test HTTP/1.1" 200 1701
[23/Oct/2020 06:35:54] "GET /api/exception_data?run=mnist&tag=layer2%2Fbiases%2FVariable:0&step=0&trainJobName=test HTTP/1.1" 200 207
[23/Oct/2020 06:35:54] "GET /api/exception_hist?run=mnist&tag=layer2%2Fbiases%2FVariable:0&step=0&trainJobName=test HTTP/1.1" 200 611
[23/Oct/2020 06:35:55] "GET /api/exception_data?run=mnist&tag=layer1%2Fweights%2FVariable:0&step=0&trainJobName=test HTTP/1.1" 200 368727
[23/Oct/2020 06:35:55] "GET /api/exception_hist?run=mnist&tag=layer1%2Fweights%2FVariable:0&step=0&trainJobName=test HTTP/1.1" 200 7811
[23/Oct/2020 06:35:55] "GET /api/exception_data?run=mnist&tag=layer2%2Fweights%2FVariable:0&step=0&trainJobName=test HTTP/1.1" 200 48677
[23/Oct/2020 06:35:55] "GET /api/exception_hist?run=mnist&tag=layer2%2Fweights%2FVariable:0&step=0&trainJobName=test HTTP/1.1" 200 3205
[23/Oct/2020 06:37:02] "GET /api/hyperparm?run=oneflow&trainJobName=test HTTP/1.1" 200 258
[23/Oct/2020 06:37:04] "GET /api/projector?run=oneflow&tag=embedding_projector&trainJobName=test HTTP/1.1" 200 124
[23/Oct/2020 06:37:04] "GET /api/projector?run=.&tag=outputs&trainJobName=test HTTP/1.1" 200 226
[23/Oct/2020 06:37:04] "GET /api/projector?run=RNN&tag=dense_1&trainJobName=test HTTP/1.1" 200 147
[23/Oct/2020 06:37:05] "GET /api/projector_data?run=oneflow&tag=embedding_projector&step=1&method=pca&dims=3&trainJobName=test HTTP/1.1" 200 404
[23/Oct/2020 06:37:07] "GET /api/projector_data?run=.&tag=outputs&step=0&method=pca&dims=3&trainJobName=test HTTP/1.1" 200 30226
[23/Oct/2020 06:37:09] "GET /api/projector_data?run=.&tag=outputs&step=10&method=pca&dims=3&trainJobName=test HTTP/1.1" 200 30322
[23/Oct/2020 06:37:09] "GET /api/projector_data?run=.&tag=outputs&step=40&method=pca&dims=3&trainJobName=test HTTP/1.1" 200 30356
[23/Oct/2020 06:37:09] "GET /api/projector_data?run=.&tag=outputs&step=90&method=pca&dims=3&trainJobName=test HTTP/1.1" 200 30347
[23/Oct/2020 06:37:10] "GET /api/projector_data?run=.&tag=outputs&step=29&method=pca&dims=3&trainJobName=test HTTP/1.1" 200 19550
[23/Oct/2020 06:37:10] "GET /api/projector_data?run=.&tag=outputs&step=31&method=pca&dims=3&trainJobName=test HTTP/1.1" 200 19004
[23/Oct/2020 06:37:10] "GET /api/projector_data?run=.&tag=outputs&step=35&method=pca&dims=3&trainJobName=test HTTP/1.1" 200 16923
[23/Oct/2020 06:37:10] "GET /api/projector_data?run=.&tag=outputs&step=34&method=pca&dims=3&trainJobName=test HTTP/1.1" 200 16790
[23/Oct/2020 06:37:10] "GET /api/projector_data?run=.&tag=outputs&step=38&method=pca&dims=3&trainJobName=test HTTP/1.1" 200 16446
[23/Oct/2020 06:37:10] "GET /api/projector_data?run=.&tag=outputs&step=37&method=pca&dims=3&trainJobName=test HTTP/1.1" 200 15817
[23/Oct/2020 06:37:13] "GET /api/projector_data?run=.&tag=outputs&step=38&method=tsne&dims=3&trainJobName=test HTTP/1.1" 200 29428
[23/Oct/2020 06:37:16] "GET /api/projector_sample?run=.&tag=outputs&index=455&trainJobName=test HTTP/1.1" 200 296
[23/Oct/2020 06:37:24] "GET /api/projector_sample?run=.&tag=outputs&index=174&trainJobName=test HTTP/1.1" 200 365
[23/Oct/2020 06:37:25] "GET / HTTP/1.1" 200 707
[23/Oct/2020 06:37:25] "GET /static/css/app.fe5832ee0d417750f630cb7d8e7e2e61.css HTTP/1.1" 304 0
[23/Oct/2020 06:37:25] "GET /static/js/manifest.2ae2e69a05c33dfc65f8.js HTTP/1.1" 304 0
[23/Oct/2020 06:37:25] "GET /static/js/vendor.51946e30b108bb294f21.js HTTP/1.1" 304 0
[23/Oct/2020 06:37:25] "GET /static/js/app.38783f422f3306035bce.js HTTP/1.1" 304 0
[23/Oct/2020 06:37:25] "GET /static/js/2D.js HTTP/1.1" 304 0
[23/Oct/2020 06:37:25] "GET /static/img/left_logo.png HTTP/1.1" 304 0
[23/Oct/2020 06:37:25] "GET /static/fonts/element-icons.535877f.woff HTTP/1.1" 304 0
[23/Oct/2020 06:37:25] "GET /static/img/log.ico HTTP/1.1" 304 0
[23/Oct/2020 06:37:28] "GET /api/projector_sample?run=.&tag=outputs&index=77&trainJobName=test HTTP/1.1" 200 362
[23/Oct/2020 06:37:29] "GET /api/projector_sample?run=.&tag=outputs&index=258&trainJobName=test HTTP/1.1" 200 388
[23/Oct/2020 06:37:31] "GET /api/init?id=test&trainJobName=test HTTP/1.1" 200 64
[23/Oct/2020 06:37:31] "GET /api/getCategory?trainJobName=test HTTP/1.1" 200 1314
[23/Oct/2020 06:37:36] "GET /api/projector_sample?run=.&tag=outputs&index=919&trainJobName=test HTTP/1.1" 200 352
[23/Oct/2020 06:37:36] "GET /api/graph?run=RNN&tag=c_graph&trainJobName=test HTTP/1.1" 200 10231
[23/Oct/2020 06:37:36] "GET /api/graph?run=wavenet&tag=c_graph&trainJobName=test HTTP/1.1" 200 1434624
[23/Oct/2020 06:37:37] "GET /api/projector_sample?run=.&tag=outputs&index=684&trainJobName=test HTTP/1.1" 200 402
[23/Oct/2020 06:37:46] "GET /api/graph?run=mnist&tag=c_graph&trainJobName=test HTTP/1.1" 200 8226
[23/Oct/2020 06:38:34] "GET /api/projector_sample?run=.&tag=outputs&index=534&trainJobName=test HTTP/1.1" 200 361
[23/Oct/2020 06:38:37] "GET /api/projector_sample?run=.&tag=outputs&index=316&trainJobName=test HTTP/1.1" 200 365
[23/Oct/2020 06:38:59] "GET /api/projector?run=oneflow&tag=embedding_projector&trainJobName=test HTTP/1.1" 200 124
[23/Oct/2020 06:38:59] "GET /api/projector?run=.&tag=outputs&trainJobName=test HTTP/1.1" 200 226
[23/Oct/2020 06:38:59] "GET /api/projector?run=RNN&tag=dense_1&trainJobName=test HTTP/1.1" 200 147
[23/Oct/2020 06:38:59] "GET /api/projector_data?run=.&tag=outputs&step=38&method=tsne&dims=3&trainJobName=test HTTP/1.1" 200 29428
[23/Oct/2020 06:39:03] "GET /api/projector_data?run=.&tag=outputs&step=38&method=tsne&dims=4&trainJobName=test HTTP/1.1" 200 38937
[23/Oct/2020 06:39:07] "GET /api/projector_sample?run=.&tag=outputs&index=994&trainJobName=test HTTP/1.1" 200 320
